phrase,candidate_skill_ids
cooperate with colleagues,"SKILL_0028,SKILL_0641"
online gambling,"SKILL_0053,SKILL_0094"
protect ICT devices,"SKILL_0103,SKILL_0557"
SPARQL,"SKILL_0148,SKILL_0518"
SQL,"SKILL_0149,SKILL_0446"
Visual Basic,"SKILL_0153,SKILL_0436"
business analytics,"SKILL_0165,SKILL_0166"
mentor individuals,"SKILL_0229,SKILL_0555"
process data,"SKILL_0225,SKILL_0241"
create solutions to problems,"SKILL_0291,SKILL_0631"
use ICT hardware,"SKILL_0324,SKILL_0612"
develop strategy to solve problems,"SKILL_0353,SKILL_0631"
blockchain,"SKILL_0411,SKILL_0416"
cloud security and compliance,"SKILL_0430,SKILL_0491"
critically evaluate information and its sources,"SKILL_0575,SKILL_0634"
demonstrate loyalty,"SKILL_0580,SKILL_0606"
show commitment,"SKILL_0606,SKILL_0625"
ICT security,"SKILL_0010,SKILL_0031"
protect personal data,"SKILL_0103,SKILL_0557"
up-date online security measures,"SKILL_0103,SKILL_0557"
use anti-virus software,"SKILL_0103,SKILL_0557"
data processing,"SKILL_0194,SKILL_0241"
come up with strategy to solve problems,"SKILL_0353,SKILL_0631"
develop strategies to solve problems,"SKILL_0353,SKILL_0631"
be flexible,"SKILL_0368,SKILL_0549"
guide others,"SKILL_0555,SKILL_0593"
assess information,"SKILL_0575,SKILL_0634"
check facts,"SKILL_0575,SKILL_0634"
detect bias,"SKILL_0575,SKILL_0634"
verify information,"SKILL_0575,SKILL_0634"
weigh information,"SKILL_0575,SKILL_0634"
demonstrate commitment,"SKILL_0606,SKILL_0625"
demonstrate enthusiasm,"SKILL_0625,SKILL_0627"
